前额,0,F
鼻骨,1,NB
鼻子,2,N
上唇,3,UL
下唇,4,LL
下颌骨,5,M
上颚骨,6,MAXI
下巴,7,MAND
下颌骨呈长条形,8,ML
眼眶,9,E
