双上肢整体轮廓,0
上肢整体轮廓,1
上臂,2
肘关节,3
前臂,4
腕关节,5
手,6
双下肢整体轮廓,7
下肢整体轮廓,8
大腿,9
膝关节,10
小腿,11
踝关节,12
足,13
