skull halo,0
cerebral falx,1
cerebral parenchyma,2
thalamic,3
third ventricle,4
posterior horn of lateral ventricle,5
anterior horn of lateral ventricle,6
choroid plexus,7
lateral cerebral sulcus,8
cavum septi pellucidi,9
septum pellucidum,10
column of fornix,11
corpus callosum,12
insular lobe,13
cerebellar hemisphere,14
cerebellar vermis,15
midbrain,16
cerebral aqueduct,17
posterior fossa cistern,18
fan-shaped region,19
