手掌,0,sz
足跟,1,zg
大脚趾侧,2,djz
小脚趾侧,3,xjz
足底,4,zd
双足底,5,szd
双足底足跟,6,szdg
双足底大脚趾侧,7,szdd
双足底小脚趾侧,8,szdx
